model,n_obs,n_groups,rti_coef,rti_se,rti_pval,int_Intercept x task_z Cov,int_Intercept x task_z Cov_se,int_Intercept x task_z Cov_p,int_task_z Var,int_task_z Var_se,int_task_z Var_p,int_task_z:welfare_regime[T.Continental],int_task_z:welfare_regime[T.Continental]_se,int_task_z:welfare_regime[T.Continental]_p,int_task_z:welfare_regime[T.Liberal],int_task_z:welfare_regime[T.Liberal]_se,int_task_z:welfare_regime[T.Liberal]_p,int_task_z:welfare_regime[T.Southern],int_task_z:welfare_regime[T.Southern]_se,int_task_z:welfare_regime[T.Southern]_p,int_task_z:welfare_regime[T.Eastern],int_task_z:welfare_regime[T.Eastern]_se,int_task_z:welfare_regime[T.Eastern]_p,int_task_z:cwed_generosity_z,int_task_z:cwed_generosity_z_se,int_task_z:cwed_generosity_z_p,int_task_z:non_college,int_task_z:non_college_se,int_task_z:non_college_p,int_task_z:welfare_regime[T.Continental]:non_college,int_task_z:welfare_regime[T.Continental]:non_college_se,int_task_z:welfare_regime[T.Continental]:non_college_p,int_task_z:welfare_regime[T.Liberal]:non_college,int_task_z:welfare_regime[T.Liberal]:non_college_se,int_task_z:welfare_regime[T.Liberal]:non_college_p,int_task_z:welfare_regime[T.Southern]:non_college,int_task_z:welfare_regime[T.Southern]:non_college_se,int_task_z:welfare_regime[T.Southern]:non_college_p,int_task_z:welfare_regime[T.Eastern]:non_college,int_task_z:welfare_regime[T.Eastern]:non_college_se,int_task_z:welfare_regime[T.Eastern]:non_college_p
M1_baseline_rs,133016,101,0.16810083733693354,0.014122864214623464,1.1451862505606696e-32,-0.009317187109149803,0.0029186460211112976,0.0014114575553269783,0.003983383775466782,0.0006906858936625087,8.055780102959947e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_regime_rs,125169,96,0.19422256024567244,0.0247142228361257,3.880281353019218e-15,0.00045605118659453785,0.0017224042381129136,0.7911820792110904,0.001983966183512674,0.0004417005376732746,7.0672023223322415e-06,0.034440987774744185,0.032429984733154484,0.2882308698629338,0.12710577234077522,0.04319085667182157,0.003251680145740171,0.02942116875026494,0.039325966624855074,0.45437816967031686,-0.1324637550505542,0.030690025128427046,1.587506123245971e-05,,,,,,,,,,,,,,,,,,
M3_cwed_rs,81885,57,0.21482649419000444,0.024993912686851964,8.31542028471297e-18,0.0017935277034413098,0.0026597130480400964,0.5001007217755566,0.008486721106967984,,,,,,,,,,,,,,,-0.059184031054589754,0.024352329647805634,0.015085365109537428,,,,,,,,,,,,,,,
M4_education_rs,125618,96,0.13808872469896472,0.03931098064276162,0.00044353372857783855,0.00030327770999706983,0.0017036080727977185,0.8587066231004055,0.0018860125944903,0.00042694173068386955,9.985177566367538e-06,-0.00519753982632513,0.054250362584339365,0.9236742187928167,0.027919480176915576,0.06515024128187591,0.668258065141824,0.0008985027079810448,0.06817473113288988,0.9894846569506506,-0.015599854507475051,0.05079906814794059,0.7587753384787118,,,,0.06281808233686076,0.0371146858653059,0.09054310157306708,0.020678129587485786,0.051085291989051186,0.6856417481291144,0.03659911094214444,0.059964476348693056,0.5416322704710498,0.02453531861146857,0.06634132619196943,0.7115057244397969,-0.05814638028723029,0.048456362590644834,0.23014939784839883
M5_redistribution_rs,124075,96,0.04104927581749249,0.011032959919128487,0.00019874680249277514,-0.005960767947841356,0.0014592490056684823,4.4111202885422314e-05,0.0015942686222957302,0.00037534410542256933,2.1618321080482387e-05,0.024971721925052186,0.014451548026913794,0.0839950858670425,0.013314074944756952,0.019216238884328034,0.4884002990837665,-0.05308057626874101,0.01761453109771643,0.0025829233639834423,0.02200564224891416,0.01370522692370698,0.10835332507777425,,,,,,,,,,,,,,,,,,
