excl_country,cwed_int
BE,-0.062222341681792165
CH,-0.05858916736977196
DE,-0.06084585404422793
DK,-0.05902654395781033
ES,-0.059517912625423434
FI,-0.05909416681438706
FR,-0.061553504447019826
GB,-0.053660206503271246
IE,-0.05950322038682207
IT,-0.05682118943915361
NL,-0.05408574825588127
NO,-0.05084715627179258
PT,-0.06069185815570734
SE,-0.05870809766507511
AT,-0.05673753621844822
