spec,n_obs,n_groups,rti_main,rti_main_se,cwed_main,interaction_beta,interaction_se,interaction_p,label,model
cwed_total_z,59364,41,0.21085405538687307,0.011347607781635863,-0.04772892553770176,-0.06468988737304635,0.009025914615685492,7.658729533720626e-13,Composite,RS_macro
cwed_ue_z,59364,41,0.21704500774338228,0.013447642098121807,-0.09517027966125868,-0.055084191536642894,0.010874341253575446,4.0728732051858783e-07,Unemployment,RS_macro
cwed_sk_z,59364,41,0.2115442486503831,0.012561804917697032,-0.22482243845051866,-0.0659694430985796,0.011232984949325592,4.284103596007002e-09,Sickness,RS_macro
cwed_pen_z,59364,41,0.20644284405224855,0.016195896313453376,0.1859438070976842,-0.020571262462900124,0.015056290068873083,0.1718478771097447,Pensions,RS_macro
