Group,N,anti_immig_index_mean,anti_immig_index_sd,anti_immig_index_n,redist_support_mean,redist_support_sd,redist_support_n,task_mean,task_sd,task_n,agea_mean,agea_sd,agea_n,female_mean,female_sd,female_n,college_mean,college_sd,college_n,hinctnta_mean,hinctnta_sd,hinctnta_n,urban_mean,urban_sd,urban_n,cwed_generosity_mean,cwed_generosity_sd,cwed_generosity_n,cwed_ue_generosity_mean,cwed_ue_generosity_sd,cwed_ue_generosity_n,radical_right_vote_mean,radical_right_vote_sd,radical_right_vote_n
Overall,125169,4.716408748705083,2.1901644048974487,125169,3.9017207334273625,1.016632250966788,124075,1.9146753589147472,0.8474813088470732,125169,51.07437943899848,17.293320704904417,125169,0.5194417148015883,0.49962387254953894,125169,0.24834423858942709,0.43205424323748,125169,5.311051458428205,2.7677724584242043,125169,0.3166758542450607,0.4651816703157549,125169,35.43440902892268,3.8231040155508005,81885,10.785508247629513,1.8967255315865457,81885,0.04841089516705742,0.2146338682684132,110471
Nordic,24100,3.883388658367912,1.9288269996910001,24100,3.6979980774856855,1.0416739406722073,23927,1.829460580912863,0.8682943867263528,24100,50.07755186721992,17.9982640853473,24100,0.48738589211618255,0.4998512294214591,24100,0.32029045643153525,0.4665978072239191,24100,5.799834024896265,2.7774739538325854,24100,0.3619087136929461,0.4805625653693942,24100,36.83321309529246,3.533084858979857,21901,10.428038510961667,1.9720618931355327,21901,0.07701244813278009,0.26661672964929145,24100
Continental,35984,4.59515803319994,2.0149180368100246,35984,3.8071248952221293,1.058563236105883,35790,1.8170020008892842,0.8410969148181492,35984,50.6202478879502,17.40327439233907,35984,0.504057358826145,0.49999048501663756,35984,0.24610938194753224,0.43074901088262824,35984,5.5743941751889725,2.7090158413317287,35984,0.2816251667407737,0.4497977930624291,35984,36.60690538387432,3.245633587570756,35984,11.677428857269895,1.4095863618864204,35984,0.06847402835941518,0.2525622280540785,27222
Liberal,12576,4.514127438507209,2.3553311453578467,12576,3.7902458686013705,1.0029069225184706,12405,1.931695292620865,0.8755720087201171,12576,51.4139631043257,16.977620418534965,12576,0.5336354961832062,0.49888720583343743,12576,0.258985368956743,0.43809497715742834,12576,4.703641857506361,2.8139452957492406,12576,0.29333651399491095,0.45530944187733036,12576,31.689270568278197,3.6079043506180235,12576,9.748164303889494,1.0998692246687733,12576,0.015744274809160304,0.12448945713352,12576
Southern,12722,4.884491432164754,2.320525133765264,12722,4.191431971439905,0.8463839605668438,12605,2.064376670334853,0.831928851114222,12722,51.053372111303254,16.8710940658305,12722,0.49638421631818896,0.5000065775804,12722,0.21388146517843107,0.41006024099628474,12722,4.835403238484515,2.644745884593024,12722,0.2970444898600849,0.45697426122274354,12722,33.18235585901027,2.1755367221923034,11424,9.803340086034416,2.4169265399749436,11424,0.02546769375884295,0.15754694972106764,12722
Eastern,39787,5.340844161828403,2.2011306905093186,39787,4.053979871912168,0.9726917437996521,39348,2.001382361072712,0.8195526310795178,39787,51.98828763163848,16.93932989677397,39787,0.55565888355493,0.4968986762252585,39787,0.21444190313418957,0.41043977314700575,39787,5.120893759268102,2.760194272675491,39787,0.33463191494709327,0.47186755845355255,39787,,,0,,,0,0.032672594605772355,0.1777808478108127,33851
