item,item_label,rti_main,rti_main_se,rti_main_p,cwed_int,cwed_int_se,cwed_int_p,n_obs,n_groups
imwbcnt,Country worse,-0.17762633148044363,0.0868482792551705,0.04083034405472537,0.07242607852368409,0.08470662450999682,0.392538635103579,81175,57
imueclt,Cultural undermining,-0.22235255501158022,0.011846627673745962,1.3472365219839883e-78,0.04473452360424863,0.010685786541636549,2.8346664457261974e-05,81269,57
imbgeco,Bad for economy,-0.24216407924140285,0.01239457611634423,5.228222591427678e-85,0.05529707459371556,0.01129896419244399,9.880933528641952e-07,81089,57
