spec,n_obs,n_groups,rti_main,rti_main_se,cwed_main,interaction_beta,interaction_se,interaction_p,label,model
cwed_total_z,81885,57,0.21378517358313948,0.02495843269302438,-0.07020431500499776,-0.058538876645408015,0.024086869293446594,0.015085365037861257,Composite,RS_base
cwed_ue_z,81885,57,0.21293234455742613,0.011062981654335639,-0.06796690894150462,-0.05142969744346106,0.010251009455680183,5.247436593722726e-07,Unemployment,RS_base
cwed_sk_z,81885,57,0.21171251832918903,0.011196908867968952,-0.17676409606060078,-0.04728793455355396,0.01025890222581096,4.037284789394543e-06,Sickness,RS_base
cwed_pen_z,81885,57,0.20952895362101162,0.012795770898463392,0.18328951342064378,-0.013073999134464451,0.012876165413409787,0.3099321872847237,Pensions,RS_base
