specification,coef,se,p,ci_lo,ci_hi,n
Main,0.11725953515053789,0.034893219221931976,0.0007779449287392058,0.04887008217089049,0.18564898813018527,125169.0
Excl. Eastern,0.12825280485559937,0.035711161909333565,0.00032891563936548877,0.058260213667226945,0.1982453960439718,85382.0
No income,0.13199250610821908,0.0360720524656437,0.00025306810530968676,0.061292582427118186,0.20269242978931998,125169.0
With L-R scale,0.11595038048824492,0.03341594785465132,0.0005206299525911131,0.05045632618385984,0.18144443479263,113897.0
Jackknife min,0.07300828393135463,,,,,
Jackknife max,0.16094368551319832,,,,,
Jackknife mean,0.11734941131276634,,,,,
Jackknife sd,0.01321763728857451,,,,,
