estimator,excluded,r,type,excluded_pair
A_bivariate_per_country,,-0.49990422641946936,loo2,GB+NL
A_bivariate_per_country,,-0.3352084280160355,loo2,GB+NO
A_bivariate_per_country,,-0.485058087489656,loo2,GB+PT
A_bivariate_per_country,,-0.5387233771061144,loo2,GB+SE
A_bivariate_per_country,,-0.8789476504959158,loo2,IE+IT
A_bivariate_per_country,,-0.6159263432667892,loo2,IE+NL
A_bivariate_per_country,,-0.5117446489999967,loo2,IE+NO
A_bivariate_per_country,,-0.6189519233178885,loo2,IE+PT
A_bivariate_per_country,,-0.6494178032659397,loo2,IE+SE
A_bivariate_per_country,,-0.8775550604174575,loo2,IT+NL
A_bivariate_per_country,,-0.8152496544801803,loo2,IT+NO
A_bivariate_per_country,,-0.8623734844809843,loo2,IT+PT
A_bivariate_per_country,,-0.8772551127742205,loo2,IT+SE
A_bivariate_per_country,,-0.43503745880492006,loo2,NL+NO
A_bivariate_per_country,,-0.5879836281577205,loo2,NL+PT
A_bivariate_per_country,,-0.614007298313368,loo2,NL+SE
A_bivariate_per_country,,-0.4743282431685021,loo2,NO+PT
A_bivariate_per_country,,-0.5082346707198855,loo2,NO+SE
A_bivariate_per_country,,-0.6205517072469918,loo2,PT+SE
B_BLUPs_random_slopes_with_controls,AT,-0.8563489960741714,loo1,
B_BLUPs_random_slopes_with_controls,BE,-0.8659946226240386,loo1,
B_BLUPs_random_slopes_with_controls,CH,-0.8537180225566606,loo1,
B_BLUPs_random_slopes_with_controls,DE,-0.856982590495402,loo1,
B_BLUPs_random_slopes_with_controls,DK,-0.8541699412168356,loo1,
B_BLUPs_random_slopes_with_controls,ES,-0.8592376850700454,loo1,
B_BLUPs_random_slopes_with_controls,FI,-0.8838399913735088,loo1,
B_BLUPs_random_slopes_with_controls,FR,-0.8973478491022433,loo1,
B_BLUPs_random_slopes_with_controls,GB,-0.8079942359027419,loo1,
B_BLUPs_random_slopes_with_controls,IE,-0.8711538631395357,loo1,
B_BLUPs_random_slopes_with_controls,IT,-0.835866701138094,loo1,
B_BLUPs_random_slopes_with_controls,NL,-0.8599051854312532,loo1,
B_BLUPs_random_slopes_with_controls,NO,-0.7925784819437175,loo1,
B_BLUPs_random_slopes_with_controls,PT,-0.8518117123989936,loo1,
B_BLUPs_random_slopes_with_controls,SE,-0.8557815366589627,loo1,
B_BLUPs_random_slopes_with_controls,,-0.8690512427762561,loo2,AT+BE
B_BLUPs_random_slopes_with_controls,,-0.8549672636886188,loo2,AT+CH
B_BLUPs_random_slopes_with_controls,,-0.856976551461764,loo2,AT+DE
B_BLUPs_random_slopes_with_controls,,-0.8551828234409413,loo2,AT+DK
B_BLUPs_random_slopes_with_controls,,-0.8600819595714718,loo2,AT+ES
B_BLUPs_random_slopes_with_controls,,-0.8842936249935889,loo2,AT+FI
B_BLUPs_random_slopes_with_controls,,-0.9011507457498105,loo2,AT+FR
B_BLUPs_random_slopes_with_controls,,-0.8056597703017425,loo2,AT+GB
B_BLUPs_random_slopes_with_controls,,-0.8737994479576489,loo2,AT+IE
B_BLUPs_random_slopes_with_controls,,-0.8350647004408505,loo2,AT+IT
B_BLUPs_random_slopes_with_controls,,-0.8613189813241542,loo2,AT+NL
B_BLUPs_random_slopes_with_controls,,-0.7951118453934246,loo2,AT+NO
B_BLUPs_random_slopes_with_controls,,-0.8522316581937907,loo2,AT+PT
B_BLUPs_random_slopes_with_controls,,-0.8574415103507609,loo2,AT+SE
B_BLUPs_random_slopes_with_controls,,-0.8623252195559257,loo2,BE+CH
B_BLUPs_random_slopes_with_controls,,-0.8689770377641554,loo2,BE+DE
B_BLUPs_random_slopes_with_controls,,-0.865673353758771,loo2,BE+DK
B_BLUPs_random_slopes_with_controls,,-0.868357731562098,loo2,BE+ES
B_BLUPs_random_slopes_with_controls,,-0.8938025407757807,loo2,BE+FI
B_BLUPs_random_slopes_with_controls,,-0.9215433269224332,loo2,BE+FR
B_BLUPs_random_slopes_with_controls,,-0.8214382589362937,loo2,BE+GB
B_BLUPs_random_slopes_with_controls,,-0.8870771661475979,loo2,BE+IE
B_BLUPs_random_slopes_with_controls,,-0.8491640863936419,loo2,BE+IT
B_BLUPs_random_slopes_with_controls,,-0.8625923002608907,loo2,BE+NL
B_BLUPs_random_slopes_with_controls,,-0.7806045588217727,loo2,BE+NO
B_BLUPs_random_slopes_with_controls,,-0.8634073596456288,loo2,BE+PT
B_BLUPs_random_slopes_with_controls,,-0.8678778519372191,loo2,BE+SE
B_BLUPs_random_slopes_with_controls,,-0.8562627938349004,loo2,CH+DE
B_BLUPs_random_slopes_with_controls,,-0.8528579981279663,loo2,CH+DK
B_BLUPs_random_slopes_with_controls,,-0.8580888447238586,loo2,CH+ES
B_BLUPs_random_slopes_with_controls,,-0.8839552009102843,loo2,CH+FI
B_BLUPs_random_slopes_with_controls,,-0.8956845258877486,loo2,CH+FR
B_BLUPs_random_slopes_with_controls,,-0.8069924064135606,loo2,CH+GB
B_BLUPs_random_slopes_with_controls,,-0.8697142564317213,loo2,CH+IE
B_BLUPs_random_slopes_with_controls,,-0.835010254019032,loo2,CH+IT
B_BLUPs_random_slopes_with_controls,,-0.8588291271808315,loo2,CH+NL
B_BLUPs_random_slopes_with_controls,,-0.7856185753377818,loo2,CH+NO
B_BLUPs_random_slopes_with_controls,,-0.8507885273801697,loo2,CH+PT
B_BLUPs_random_slopes_with_controls,,-0.8538214987105133,loo2,CH+SE
B_BLUPs_random_slopes_with_controls,,-0.8555036726292535,loo2,DE+DK
B_BLUPs_random_slopes_with_controls,,-0.8620313337974684,loo2,DE+ES
B_BLUPs_random_slopes_with_controls,,-0.8887353003304824,loo2,DE+FI
B_BLUPs_random_slopes_with_controls,,-0.8986386814620245,loo2,DE+FR
B_BLUPs_random_slopes_with_controls,,-0.805551075827261,loo2,DE+GB
B_BLUPs_random_slopes_with_controls,,-0.871397372240353,loo2,DE+IE
B_BLUPs_random_slopes_with_controls,,-0.8364074194386478,loo2,DE+IT
B_BLUPs_random_slopes_with_controls,,-0.8636848457293547,loo2,DE+NL
