estimator,r_full_sample,loo_min,loo_max,loo_range,loo_sign_flip,loo2_min,loo2_max,loo2_n_pairs,loo2_n_significant_p05_approx
A_bivariate_per_country,-0.6245196718389111,-0.8699709330791515,-0.49567596769402317,0.37429496538512835,False,-0.9084066376230395,-0.3352084280160355,105,80
B_BLUPs_random_slopes_with_controls,-0.855200878561046,-0.8973478491022433,-0.7925784819437175,0.1047693671585258,False,-0.9224062180366693,-0.7003414591701507,105,105
D_inverse_variance_weighted,-0.7526521595464625,-0.8679822224708571,-0.6701336464718733,0.19784857599898376,False,-0.9016522551004226,-0.5625872245910016,105,105
