cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,vote,prtvtat,prtvtaat,prtvtbat,prtvtbe,prtvtabe,prtvtbbe,prtvtcbe,prtvtbg,prtvtabg,prtvtbbg,prtvtcbg,prtvtch,prtvtach,prtvtbch,prtvtcch,prtvtdch,prtvtech,prtvtfch,prtvtcy,prtvtacy,prtvtcz,prtvtacz,prtvtbcz,prtvtccz,prtvtdcz,prtvde1,prtvade1,prtvbde1,prtvcde1,prtvdde1,prtvede1,prtvde2,prtvade2,prtvbde2,prtvcde2,prtvdde2,prtvede2,prtvtdk,prtvtadk,prtvtbdk,prtvtcdk,prtvtee,prtvtaee,prtvtbee,prtvtcee,prtvtdee,prtvteee,prtvtfee,prtvtes,prtvtaes,prtvtbes,prtvtces,prtvtdes,prtvtfi,prtvtafi,prtvtbfi,prtvtcfi,prtvtdfi,prtvtfr,prtvtafr,prtvtbfr,prtvtcfr,prtvtgb,prtvtagb,prtvtbgb,prtvtgr,prtvtagr,prtvtbgr,prtvtcgr,prtvthr,prtvthu,prtvtahu,prtvtbhu,prtvtchu,prtvtdhu,prtvtehu,prtvtie,prtvtaie,prtvtbie,prtvtil,prtvtail,prtvtbil,prtvtcil,prtvtis,prtvtais,prtvtbis,prtvtit,prtvtait,prtvtbit,prtvlt1,prtvalt1,prtvblt1,prtvlt2,prtvalt2,prtvblt2,prtvlt3,prtvalt3,prtvblt3,prtvtlu,prtvtnl,prtvtanl,prtvtbnl,prtvtcnl,prtvtdnl,prtvtenl,prtvtfnl,prtvtno,prtvtano,prtvtbno,prtvtpl,prtvtapl,prtvtbpl,prtvtcpl,prtvtdpl,prtvtpt,prtvtapt,prtvtbpt,prtvtcpt,prtvtru,prtvtaru,prtvtbru,prtvtcru,prtvtdru,prtvtse,prtvtase,prtvtbse,prtvtsi,prtvtasi,prtvtbsi,prtvtcsi,prtvtdsi,prtvtesi,prtvtsk,prtvtask,prtvtbsk,prtvtcsk,prtvttr,prtvtatr,prtvtua,prtvtaua,prtvtbua,prtvtcua,gndr,agea,edulvla,eisced,eduyrs,mnactic,emplrel,nacer1,nacer11,nacer2,tporgwk,iscoco,isco08,hinctnt,hinctnta,cregion,regunit,regionat,regionbe,regionbg,regionch,regioach,regioncy,regioncz,regioacz,regionde,regiondk,regioadk,regionee,regiones,regioaes,regionfi,regioafi,regionfr,regiongb,regiongr,regioagr,regionhr,regionhu,regionie,regioaie,regiobie,regionil,regionit,regionlu,regionnl,regionno,regionpl,regionpt,regioapt,regionru,regionse,regionsi,regionsk,regiontr,regionua
AT,ESS1-8e01,1.0,12.12.2018,11.0,ESS1e06_6,1.0,6.6,15.0,0.96,0.891307523024218,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34.0,3.0,0.0,12.0,1.0,1.0,52.0,,,,5220.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,12.0,ESS1e06_6,1.0,6.6,18.0,0.96,0.699100558483915,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,47.0,2.0,0.0,9.0,1.0,1.0,75.0,,,,9132.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,13.0,ESS1e06_6,1.0,6.6,20.0,1.9201,1.46027771218906,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,45.0,3.0,0.0,12.0,1.0,1.0,51.0,,,,5220.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,14.0,ESS1e06_6,1.0,6.6,22.0,0.96,0.891307523024218,0.271487505538325,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,30.0,3.0,0.0,12.0,8.0,1.0,52.0,,,,4121.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,15.0,ESS1e06_6,1.0,6.6,24.0,0.48,0.395696065645675,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,60.0,2.0,0.0,8.0,6.0,1.0,45.0,,,,9313.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,16.0,ESS1e06_6,1.0,6.6,25.0,0.3397,0.425434569667116,0.271487505538325,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.0,3.0,0.0,12.0,1.0,1.0,22.0,,,,8251.0,,11.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,17.0,ESS1e06_6,1.0,6.6,26.0,0.6795,1.00081389724706,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,76.0,2.0,0.0,8.0,6.0,3.0,1.0,,,,9211.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,18.0,ESS1e06_6,1.0,6.6,27.0,0.3397,0.356172109501258,0.271487505538325,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,28.0,5.0,0.0,17.0,1.0,1.0,52.0,,,,5220.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,19.0,ESS1e06_6,1.0,6.6,28.0,0.6795,0.560157242929659,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,61.0,2.0,0.0,8.0,6.0,2.0,90.0,,,,7143.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,ESS1-8e01,1.0,12.12.2018,20.0,ESS1e06_6,1.0,6.6,29.0,0.6795,0.516774493741194,0.271487505538325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,38.0,3.0,0.0,15.0,1.0,1.0,75.0,,,,3320.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
