country,isco08dig2,sh_highrisk,obs,country_m,country_p,isco08_2,cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,tvtot,tvpol,rdtot,rdpol,nwsptot,nwsppol,netuse,ppltrst,pplfair,pplhlp,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,prtvtat,prtvtaat,prtvtbat,prtvtbe,prtvtabe,prtvtbbe,prtvtcbe,prtvtbg,prtvtabg,prtvtbbg,prtvtcbg,prtvtch,prtvtach,prtvtbch,prtvtcch,prtvtdch,prtvtech,prtvtcy,prtvtacy,prtvtcz,prtvtacz,prtvtbcz,prtvtccz,prtvtdcz,prtvde1,prtvade1,prtvbde1,prtvcde1,prtvdde1,prtvede1,prtvde2,prtvade2,prtvbde2,prtvcde2,prtvdde2,prtvede2,prtvtdk,prtvtadk,prtvtbdk,prtvtcdk,prtvtee,prtvtaee,prtvtbee,prtvtcee,prtvtdee,prtvteee,prtvtes,prtvtaes,prtvtbes,prtvtces,prtvtfi,prtvtafi,prtvtbfi,prtvtcfi,prtvtfr,prtvtafr,prtvtbfr,prtvtcfr,prtvtgb,prtvtagb,prtvtbgb,prtvtgr,prtvtagr,prtvtbgr,prtvtcgr,prtvthr,prtvthu,prtvtahu,prtvtbhu,prtvtchu,prtvtdhu,prtvtehu,prtvtie,prtvtaie,prtvtil,prtvtail,prtvtbil,prtvtcil,prtvtis,prtvtais,prtvtit,prtvtait,prtvtbit,prtvlt1,prtvalt1,prtvlt2,prtvalt2,prtvlt3,prtvalt3,prtvtlu,prtvtnl,prtvtanl,prtvtbnl,prtvtcnl,prtvtdnl,prtvtenl,prtvtfnl,prtvtno,prtvtano,prtvtbno,prtvtpl,prtvtapl,prtvtbpl,prtvtcpl,prtvtpt,prtvtapt,prtvtbpt,prtvtru,prtvtaru,prtvtbru,prtvtcru,prtvtse,prtvtase,prtvtbse,prtvtsi,prtvtasi,prtvtbsi,prtvtcsi,prtvtdsi,prtvtesi,prtvtsk,prtvtask,prtvtbsk,prtvtcsk,prtvttr,prtvtatr,prtvtua,prtvtaua,prtvtbua,prtvtcua,prtclat,prtclaat,prtclcat,prtclbe,prtclabe,prtclbbe,prtclcbe,prtclbg,prtclabg,prtclbbg,prtclcbg,prtclch,prtclach,prtclbch,prtclcch,prtcldch,prtclech,prtclcy,prtclacy,prtclcz,prtclacz,prtclbcz,prtclccz,prtcldcz,prtclde,prtclade,prtclbde,prtclcde,prtcldde,prtclede,prtcldk,prtcladk,prtclbdk,prtclcdk,prtclee,prtclaee,prtclbee,prtclcee,prtcldee,prtcleee,prtcles,prtclaes,prtclbes,prtclces,prtcldes,prtclfi,prtclafi,prtclbfi,prtclcfi,prtclfr,prtclafr,prtclbfr,prtclcfr,prtcldfr,prtclgb,prtclagb,prtclbgb,prtclgr,prtclagr,prtclbgr,prtclcgr,prtclhr,prtclhu,prtclahu,prtclbhu,prtclchu,prtcldhu,prtclehu,prtclie,prtclaie,prtclbie,prtclil,prtclail,prtclbil,prtclcil,prtcldil,prtclis,prtclais,prtclit,prtclait,prtclbit,prtcllu,prtcllt,prtclalt,prtclnl,prtclanl,prtclbnl,prtclcnl,prtcldnl,prtclenl,prtclno,prtclano,prtclbno,prtclpl,prtclapl,prtclbpl,prtclcpl,prtcldpl,prtclepl,prtclfpl,prtclpt,prtclapt,prtclbpt,prtclcpt,prtcldpt,prtclru,prtclaru,prtclbru,prtclcru,prtclse,prtclase,prtclbse,prtclsi,prtclasi,prtclbsi,prtclcsi,prtcldsi,prtclesi,prtclsk,prtclask,prtclbsk,prtclcsk,prtcltr,prtclatr,prtclua,prtclaua,prtclbua,prtclcua,prtcldua,prtmbat,prtmbaat,prtmbbe,prtmbabe,prtmbbbe,prtmbcbe,prtmbbg,prtmbabg,prtmbbbg,prtmbch,prtmbach,prtmbbch,prtmbcch,prtmbcy,prtmbcz,prtmbacz,prtmbbcz,prtmbde,prtmbade,prtmbbde,prtmbcde,prtmbdk,prtmbadk,prtmbbdk,prtmbee,prtmbaee,prtmbbee,prtmbcee,prtmbes,prtmbaes,prtmbbes,prtmbfi,prtmbafi,prtmbbfi,prtmbfr,prtmbafr,prtmbbfr,prtmbcfr,prtmbgb,prtmbagb,prtmbgr,prtmbagr,prtmbbgr,prtmbcgr,prtmbhr,prtmbhu,prtmbahu,prtmbbhu,prtmbchu,prtmbie,prtmbaie,prtmbil,prtmbail,prtmbbil,prtmbit,prtmbait,prtmblu,prtmbnl,prtmbanl,prtmbbnl,prtmbcnl,prtmbno,prtmbano,prtmbpl,prtmbapl,prtmbbpl,prtmbcpl,prtmbdpl,prtmbpt,prtmbapt,prtmbbpt,prtmbru,prtmbaru,prtmbbru,prtmbse,prtmbase,prtmbsi,prtmbasi,prtmbbsi,prtmbcsi,prtmbsk,prtmbask,prtmbbsk,prtmbtr,prtmbatr,prtmbua,prtmbaua,prtmbbua,prtmbcua,happy,sclmeet,inmdisc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzship,ctzshipa,ctzshipb,ctzshipc,brncntr,cntbrth,cntbrtha,cntbrthb,cntbrthc,livecntr,livecnta,lnghoma,lnghom1,lnghomb,lnghom2,blgetmg,facntr,facntn,fbrncnt,fbrncnta,fbrncntb,mocntr,mocntn,mbrncnt,mbrncnta,mbrncntb,rlgdnbe,rlgdnch,rlgdnach,rlgdncy,rlgdnde,rlgdnade,rlgdnfi,rlgdnafi,rlgdngb,rlgdngr,rlgdnagr,rlgdnhu,rlgdnie,rlgdnil,rlgdnlt,rlgdnnl,rlgdnno,rlgdnpl,rlgdnapl,rlgdnpt,rlgdnru,rlgdnaru,rlgdnse,rlgdnase,rlgdnsi,rlgdnsk,rlgdnua,rlgdebe,rlgdech,rlgdeach,rlgdecy,rlgdede,rlgdeade,rlgdefi,rlgdeafi,rlgdegb,rlgdegr,rlgdeagr,rlgdehu,rlgdeie,rlgdeil,rlgdelt,rlgdenl,rlgdeno,rlgdepl,rlgdeapl,rlgdept,rlgderu,rlgdearu,rlgdese,rlgdease,rlgdesi,rlgdesk,rlgdeua,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,gndr16,gndr17,gndr18,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,yrbrn16,yrbrn17,yrbrn18,rship2,rshipa2,rship3,rshipa3,rship4,rshipa4,rship5,rshipa5,rship6,rshipa6,rship7,rshipa7,rship8,rshipa8,rship9,rshipa9,rship10,rshipa10,rship11,rshipa11,rship12,rshipa12,rship13,rshipa13,rship14,rshipa14,rship15,rshipa15,rship16,rshipa16,rship17,rshipa17,rship18,rshipa18,partner,rshpsts,marsts,marital,maritala,maritalb,lvghw,lvghwa,lvgoptn,lvgptn,lvgptna,lvgptne,lvgptnea,dvrcdev,dvrcdeva,chldhm,chldhhe,domicil,edulvla,edulvlb,eisced,edufld,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngdk,dngref,dngna,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctr,wrkctra,estsz,jbspv,njbspv,wkdcorg,wkdcorga,iorgact,wkhct,wkhtot,nacer1,nacer11,nacer2,tporgwk,iscoco,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrc,hincsrca,hinctnt,hinctnta,hincfel,brwmny,edulvlpa,edulvlpb,eiscedp,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,iscocop,isco08p,emprelp,emplnop,jbspvp,njbspvp,wkdcorp,ioactp,wkhtotp,edulvlfa,edulvlfb,eiscedf,emprf14,emplnof,jbspvf,occf14,occf14a,occf14b,edulvlma,edulvlmb,eiscedm,emprm14,emplnom,jbspvm,occm14,occm14a,occm14b,atncrse,fxltph,mbltph,inttph,edlvbe,edlvabe,edlvdbe,edlvebe,edlvbg,edlvdbg,edlvch,edlvach,edlvbch,edlvcch,edlvdch,edlvcy,edlvacy,edlvdcy,edlvecy,edlvcz,edlvdcz,edlvde,edlvade,edude1,eduade1,edude2,edude3,edlvdk,edlvadk,edlvddk,edlvee,edlvaee,edlvbee,edlvdee,edlves,edlvaes,edlvdes,edlvees,edlvges,edlvdfi,edlvfr,edlvafr,edlvbfr,edlvdfr,edlvgb,edlvagb,edugb1,eduagb1,edubgb1,edugb2,eduagb2,edagegb,edlvgr,edlvagr,edlvdgr,edlvhr,edlvdhr,edlvhu,edlvahu,edlvbhu,edlvdhu,edlvie,edlvaie,edlvbie,edlvdie,edlvil,edlvail,eduil1,eduail1,eduil2,eduail2,edlvit,edlvait,edlvdit,edlvdlt,edlvlu,edlvnl,edlvdnl,edlvenl,edlvno,edlvano,edlvdno,edlvpl,edlvapl,edlvbpl,edlvdpl,edlvepl,edupl2,edlvpt,edlvapt,edlvbpt,edlvdpt,edlvru,edlvdru,edlvse,edlvase,edlvdse,edlvsi,edlvasi,edlvdsi,edlvsk,edlvask,edlvdsk,edlvua,edlvaua,edlvdua,edlvpbe,edlvpdbe,edlvpebe,edlvpdbg,edlvpch,edlvpdch,edlvpcy,edlvpdcy,edlvpecy,edlvpcz,edlvpdcz,edupde1,edupade1,edupde2,edupde3,edlvpdk,edlvpddk,edlvpee,edlvpdee,edlvpes,edlvpdes,edlvpees,edlvpfes,edlvpdfi,edlvpfr,edlvpdfr,edupgb1,edupagb1,edupbgb1,edupgb2,edupagb2,edagepgb,edlvpgr,edlvpdgr,edlvphr,edlvpdhr,edlvphu,edlvpdhu,edlvpie,edlvpdie,edupil1,edupail1,edupil2,edupail2,edlvpdlt,edlvpnl,edlvpdnl,edlvpenl,edlvpno,edlvpdno,edlvppl,edlvpdpl,edlvpepl,eduppl2,edlvppt,edlvpdpt,edlvpru,edlvpdru,edlvpse,edlvpdse,edlvpsi,edlvpdsi,edlvpsk,edlvpdsk,edlvpua,edlvpdua,edlvfbe,edlvfdbe,edlvfebe,edlvfdbg,edlvfch,edlvfdch,edlvfcy,edlvfdcy,edlvfecy,edlvfcz,edlvfdcz,edufde1,edufade1,edufde2,edufde3,edlvfdk,edlvfddk,edlvfee,edlvfdee,edlvfes,edlvfdes,edlvfees,edlvffes,edlvffr,edlvfdfr,edlvfdfi,edufgb1,edufagb1,edufbgb1,edufgb2,edufagb2,edagefgb,edlvfgr,edlvfdgr,edlvfhr,edlvfdhr,edlvfhu,edlvfdhu,edlvfie,edlvfdie,edufil1,edufail1,edufil2,edufail2,edlvfdlt,edlvfnl,edlvfdnl,edlvfenl,edlvfno,edlvfdno,edlvfpl,edlvfdpl,edlvfepl,edlvfpt,edlvfdpt,edlvfru,edlvfdru,edlvfse,edlvfdse,edlvfsi,edlvfdsi,edlvfsk,edlvfdsk,edlvfua,edlvfdua,edlvmbe,edlvmdbe,edlvmebe,edlvmdbg,edlvmch,edlvmdch,edlvmcy,edlvmdcy,edlvmecy,edlvmcz,edlvmdcz,edumde1,edumade1,edumde2,edumde3,edlvmdk,edlvmddk,edlvmee,edlvmdee,edlvmes,edlvmdes,edlvmees,edlvmfes,edlvmfr,edlvmdfr,edlvmdfi,edumgb1,edumagb1,edumbgb1,edumgb2,edumagb2,edagemgb,edlvmgr,edlvmdgr,edlvmhr,edlvmdhr,edlvmhu,edlvmdhu,edlvmie,edlvmdie,edumil1,edumail1,edumil2,edumail2,edlvmdlt,edlvmnl,edlvmdnl,edlvmenl,edlvmno,edlvmdno,edlvmpl,edlvmdpl,edlvmepl,edlvmpt,edlvmdpt,edlvmru,edlvmdru,edlvmse,edlvmdse,edlvmsi,edlvmdsi,edlvmsk,edlvmdsk,edlvmua,edlvmdua,rshpsfi,marstfi,martlfr,marstie,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,cregion,regunit,regionat,regionbe,regionbg,regionch,regioach,regioncy,regioncz,regioacz,regionde,regiondk,regioadk,regionee,regiones,regioaes,regionfi,regioafi,regionfr,regiongb,regiongr,regioagr,regionhr,regionhu,regionie,regioaie,regiobie,regionil,regionit,regionlu,regionnl,regionno,regionpl,regionpt,regioapt,regionru,regionse,regionsi,regionsk,regiontr,regionua,intewde,inwdd,inwdds,inwdde,inwmm,inwmms,inwmme,inwyr,inwyys,inwyye,inwshh,inwsmm,inwehh,inwemm,inwtm,supqdd,supqmm,supqyr,mode,gdsprt,clmrlx,actvgrs,yrspdwk,yrspdwka,wrkengt,wkovrtm,wrkwe,yrcremp,jbcoedu,jbedyrs,jblrn,vrtywrk,jbrqlrn,wgdpeft,hlpcowk,hlthrwk,dcsfwrk,jbscr,wrkhrd,nevdnjb,oprtad,bsmw,ppwwkp,rpljbde,wrywprb,trdawrk,jbprtfp,pfmfdjb,pfmfdjba,dfcnswk,dfcnswka,grspay,grspaya,payprd,payprda,ipjbini,ipjbscr,ipjbhin,ipjbwfm,wkhsch,icptn,wkengtp,wkovtmp,ptnwkwe,rtryr,wntrtr,plnchld,wkdcpce,pphincr,stfjb,stfjbot,wkvlorg,optftr,pstvms,flrms,fltdpr,flteeff,slprl,wrhpp,fltlnl,fltlnla,enjlf,fltsd,cldgng,enrglot,fltanx,fltpcfl,dclvlf,lchshcp,accdng,wrbknrm,pplahlp,trtrsp,dngval,nhpftr,lfwrs,flclpla,acetalv,eimpcnt,gvrfgap,imbleco,imdetbs,imdetmr,imtcjob,imwbcrm,lwdscwp,noimbro,pplstrd,qfimchr,qfimcmt,qfimedu,qfimlng,qfimwht,qfimwsk,wmcpwrk,mnrgtjb,hrshsnt,hrshsnta,pdaprp,pdaprpa,smbtjob,smbtjoba,country_pre,proddate,nwspol,netusoft,netustm,psppsgva,actrolga,psppipla,cptppola,prtvtfch,prtvtfee,prtvtdes,prtvtdfi,prtvtbie,prtvtbis,prtvblt1,prtvblt2,prtvblt3,prtvtdpl,prtvtcpt,prtvtdru,pstplonl,prtclfch,prtclfee,prtclees,prtcldfi,prtclefr,prtclfhu,prtclcie,prtclbis,prtclcit,prtclblt,prtclgpl,prtclept,prtcldru,hmsfmlsh,hmsacld,inprdsc,atchctr,atcherp,rlgdnbat,rlgdnis,rlgdebat,rlgdeis,rfgfrpc,rfgbfml,eneffap,rdcenr,cflsenr,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt1,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,gvcldcr,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,lbenent,bennent,admub,ubpay,ubedu,ubunp,ub50pay,ub50edu,ub50unp,ub20pay,ub20edu,ub20unp,ubsppay,ubspedu,ubspunp,bnlwinc,eduunmp,wrkprbf,basinc,eusclbf,eudcnbf,lkuemp,lknemny,vteurmmb,vteumbgb,vteubcmb,icpart1,rshpsgb,icpart2,iccohbt,marstgb,edlveat,edubde1,eduade2,eduade3,edubil1,edlvdis,edlvesi,icomdng,icpdwrk,icwhct,icpart3,edlvpeat,edupbde1,edupade2,edupade3,edupbil1,edlvpdis,edlvpdit,edlvpesi,icomdnp,icppdwk,edlvfeat,edufbde1,edufade2,edufade3,edufbil1,edlvfdis,edlvfdit,edlvfesi,edlvmeat,edumbde1,edumade2,edumade3,edumbil1,edlvmdis,edlvmdit,edlvmesi,anctry1,anctry2,region,country_p_1dig,isco_2digit,isco_1digit
Austria,1,0.0063291141,158,Austria,Austria,1,AT,ESS1-7e01,1.0,08.12.2016,8085.0,ESS7e02_1,7.0,2.1,2284.0,0.874436521142935,0.560604419778953,0.406019331,"More than 1,5 hours, up to 2 hours","0,5 hour to 1 hour",,,,,,5,8,4,Quite interested,,,4,5,8,5,5,4,4,Yes,No,No,No,No,Yes,No,Yes,Yes,Quite close,,4,8,6,3,5,4,5,Agree strongly,Agree strongly,,,6,Allow many to come and live here,Allow some,Allow many to come and live here,5,7,5,,,GrÃ¼ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GrÃ¼ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Several times a month,,About the same,No,Very safe,,,,,,,,,Very good,No,Yes,Roman Catholic,Not applicable,Not applicable,8,Once a week,Every day,No,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Marked,Not marked,Yes,,,,66,Yes,,,,66,,Not applicable,,GER,,000,No,Yes,,,,66,Yes,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Female,Female,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,1960.0,55.0,1938,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,Parent/parent-in-law,Parent/parent-in-law,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,Does not,Not applicable,None of these (NEVER married or in legally registered civil,,,None of these (NEVER married or in legally registered civil,,,,,,,No,,No,Does not,No,Country village,Post-secondary non-tertiary education completed (ISCED 4),"Vocational ISCED 4A, access upper tier ISCED 5A/all 5","ES-ISCED IV, advanced vocational, sub-degree",,14.0,Marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not applicable,Paid work,Not applicable,Not applicable,Not applicable,Employee,Not applicable,,Unlimited,Under 10,Yes,8,,I have/had complete control,5,39,39,,,"Retail trade, except of motor vehicles and motorcycles",A private firm,,Managing directors and chief executives,No,Yes,Yes,No,"Yes, previously",Wages or salaries,Wages or salaries,,F - 5th decile,Coping on present income,,Not applicable,Not applicable,Not applicable,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Marked,Not marked,Not marked,Not applicable,Not applicable,,Not applicable,Not applicable,,,,,,Not applicable,Upper secondary education completed (ISCED 3),"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","ES-ISCED IIIb, lower tier upper secondary",Self-employed,,,,,Sales occupations,Upper secondary education completed (ISCED 3),"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","ES-ISCED IIIb, lower tier upper secondary",Employee,,,,,Sales occupations,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like me,A little like me,Very much like me,Somewhat like me,Very much like me,Like me,A little like me,Very much like me,Like me,Like me,Very much like me,Very much like me,Somewhat like me,Like me,Somewhat like me,Like me,Somewhat like me,Like me,Very much like me,Very much like me,Like me,AT31,NUTS level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,,2.0,2.0,,2015.0,2015.0,15.0,35.0,16.0,37.0,54.0,21,2,2015,Face to face interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None or almost none of the time,None or almost none of the time,None or almost none of the time,Most of the time,None or almost none of the time,,Most of the time,None or almost none of the time,None or almost none of the time,,,,,,,,,,,,,,Some minority race/ethnic group,Allow many to come and live here,Agree,5,,,5,5,9,30,Disagree,2,4,5,8,Extremely unimportant,5,,,,,,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austria, Finland",11.0,1.0
Austria,2,0.0042283298,473,Austria,Austria,2,AT,ESS1-7e01,1.0,08.12.2016,8522.0,ESS7e02_1,7.0,2.1,3195.0,0.849694227104082,1.10930881361028,0.406019331,"More than 1,5 hours, up to 2 hours","Less than 0,5 hour",,,,,,7,6,7,Quite interested,,,2,8,Complete trust,No trust at all,2,4,6,Yes,No,No,No,No,No,No,No,Yes,Quite close,,3,3,6,4,8,4,2,Neither agree nor disagree,Neither agree nor disagree,,,5,Allow some,Allow a few,Allow a few,1,5,3,,,SPÃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPÃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Once a month,,Less than most,No,Very safe,,,,,,,,,Fair,Yes to some extent,No,Not applicable,No,Not applicable,8,Once a week,Once a week,No,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Marked,Not marked,Yes,,,,66,Yes,,,,66,,Not applicable,,GER,,000,No,No,,,,DE,Yes,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Female,Male,Female,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,1970.0,45.0,1971,2002,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,Husband/wife/partner,Husband/wife/partner,Son/daughter/step/adopted,Son/daughter/step/adopted/foster,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,Lives with husband/wife/partner at household grid,Legally married,Not applicable,,,Legally married,,,,,,,No answer,,No,Respondent lives with children at household grid,Not applicable,Country village,Tertiary education completed (ISCED 5-6),"ISCED 5A medium, bachelor/equivalent from lower tier tertiar","ES-ISCED V1, lower tertiary education, BA level",,15.0,Marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not applicable,Paid work,Not applicable,Not applicable,Not applicable,Employee,Not applicable,,Unlimited,500 or more,No,Not applicable,,7,2,40,40,,,Education,Other public sector (such as education and health),,Teaching professionals,No,No,Not applicable,Not applicable,"Yes, currently",Wages or salaries,Wages or salaries,,Refusal,Coping on present income,,Tertiary education completed (ISCED 5-6),"ISCED 5A medium, bachelor/equivalent from lower tier tertiar","ES-ISCED V1, lower tertiary education, BA level",Marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not marked,Not applicable,Not applicable,,Teaching professionals,Employee,,,,,,40,Upper secondary education completed (ISCED 3),"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","ES-ISCED IIIb, lower tier upper secondary",Employee,,,,,Semi-skilled worker,Upper secondary education completed (ISCED 3),"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","ES-ISCED IIIb, lower tier upper secondary",Not working,,,,,Not applicable,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much like me,A little like me,Like me,Like me,Very much like me,Not like me,Like me,Like me,Very much like me,A little like me,Like me,Like me,Very much like me,Very much like me,Somewhat like me,Very much like me,Like me,Like me,Very much like me,Very much like me,A little like me,AT31,NUTS level 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,,3.0,3.0,,2015.0,2015.0,18.0,9.0,19.0,21.0,68.0,27,3,2015,Face to face interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None or almost none of the time,Most of the time,Some of the time,Most of the time,None or almost none of the time,,Some of the time,None or almost none of the time,None or almost none of the time,,,,,,,,,,,,,,Some minority race/ethnic group,Allow a few,Agree,4,,,6,9,7,Don't know,Neither agree nor disagree,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austria, Finland",23.0,2.0
