id,year,wave,country_new,nuts2_region,trust_eu,eu_pos,ec_exp,attach_cntry,trust_gov,lr,lr2,age,gender,edu,occ,gdp_reg,gdp_reg_ch_5,gdp_reg_ch_3,gdp_reg_ch_1,gdp_reg_gr,gdp_reg_gr_ch,gdp_reg_gr_ch_wlth,gdp_nat,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,_merge,nonmiss
2410,2016.0,862.0,1,AT11,1,1,2,0,1,2,4.0,21,0,3.0,0,25600.0,3500.0,1800.0,600.0,2.0,2.0,5.0,36600.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
458,2019.0,923.0,1,AT11,1,1,2,0,0,2,4.0,48,1,2.0,1,27800.0,3700.0,2200.0,700.0,2.0,2.0,5.0,39400.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
12968307,2011.0,753.0,1,AT11,0,0,1,,0,2,4.0,58,1,1.0,,22100.0,,,900.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
2230,2015.0,833.0,1,AT11,1,0,1,,1,,,74,0,2.0,0,25000.0,3800.0,1600.0,900.0,2.0,2.0,5.0,35900.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
2056,2014.0,823.0,1,AT11,0,0,2,,0,,,44,0,2.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
2483,2014.0,814.0,1,AT11,0,0,2,,0,3,9.0,43,0,3.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
2142,2019.0,915.0,1,AT11,0,1,2,0,0,2,4.0,25,1,3.0,1,27800.0,3700.0,2200.0,700.0,2.0,2.0,5.0,39400.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
12657306,2011.0,753.0,1,AT11,1,1,3,,0,5,25.0,37,1,3.0,,22100.0,,,900.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
857148,2013.0,793.0,1,AT11,1,0,1,,1,,,31,0,2.0,,23800.0,,2600.0,400.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
857309,2012.0,773.0,1,AT11,1,0,3,,1,,,27,1,2.0,,23400.0,,,1300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
10522,2015.0,831.0,1,AT11,1,1,3,,1,,,58,0,3.0,1,25000.0,3800.0,1600.0,900.0,2.0,2.0,5.0,35900.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
10524,2015.0,831.0,1,AT11,1,0,3,,1,,,45,0,2.0,1,25000.0,3800.0,1600.0,900.0,2.0,2.0,5.0,35900.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
857303,2012.0,773.0,1,AT11,0,1,2,,1,,,24,0,2.0,,23400.0,,,1300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
968310,2011.0,763.0,1,AT11,0,0,2,,,,,32,1,2.0,,22100.0,,,900.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
12657308,2011.0,753.0,1,AT11,1,0,1,,1,8,64.0,38,0,2.0,,22100.0,,,900.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
2042,2014.0,823.0,1,AT11,0,0,2,,1,4,16.0,41,1,2.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
896415,2014.0,812.0,1,AT11,1,0,1,,1,5,25.0,52,1,2.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
857311,2012.0,773.0,1,AT11,,1,1,,,,,30,0,2.0,,23400.0,,,1300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
12942208,2010.0,742.0,1,AT11,1,0,2,,1,10,100.0,80,0,1.0,,21200.0,,,,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
12942201,2010.0,742.0,1,AT11,0,0,2,,1,6,36.0,55,0,1.0,,21200.0,,,,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
10526,2015.0,831.0,1,AT11,,0,3,,1,6,36.0,69,1,1.0,0,25000.0,3800.0,1600.0,900.0,2.0,2.0,5.0,35900.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
2214,2017.0,883.0,1,AT11,0,0,2,0,1,4,16.0,51,0,2.0,1,26400.0,3000.0,2300.0,800.0,2.0,2.0,5.0,37200.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
2052,2014.0,823.0,1,AT11,0,0,1,,0,2,4.0,29,1,3.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
2223,2017.0,883.0,1,AT11,0,0,2,0,1,3,9.0,54,0,2.0,1,26400.0,3000.0,2300.0,800.0,2.0,2.0,5.0,37200.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
1488,2014.0,823.0,1,AT11,1,0,2,,1,5,25.0,29,0,2.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
886,2017.0,873.0,1,AT11,1,1,3,0,1,1,1.0,41,1,2.0,1,26400.0,3000.0,2300.0,800.0,2.0,2.0,5.0,37200.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
1253,2017.0,883.0,1,AT11,0,1,2,0,0,5,25.0,47,0,2.0,1,26400.0,3000.0,2300.0,800.0,2.0,2.0,5.0,37200.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
1692,2015.0,833.0,1,AT11,0,0,2,,1,2,4.0,40,0,3.0,1,25000.0,3800.0,1600.0,900.0,2.0,2.0,5.0,35900.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
1459,2018.0,903.0,1,AT11,1,0,2,0,0,3,9.0,28,1,2.0,1,27100.0,3300.0,2100.0,700.0,2.0,2.0,5.0,38600.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
896409,2014.0,812.0,1,AT11,1,1,1,,1,7,49.0,82,1,1.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
857301,2011.0,763.0,1,AT11,0,0,1,,,,,64,1,2.0,,22100.0,,,900.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
876111,2014.0,812.0,1,AT11,1,0,2,,1,6,36.0,77,1,2.0,,24100.0,,2000.0,300.0,2.0,,,,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
1693,2015.0,833.0,1,AT11,0,1,3,,1,5,25.0,41,0,3.0,1,25000.0,3800.0,1600.0,900.0,2.0,2.0,5.0,35900.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
914,2019.0,923.0,1,AT11,1,1,2,0,1,2,4.0,35,1,3.0,1,27800.0,3700.0,2200.0,700.0,2.0,2.0,5.0,39400.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
2426,2017.0,873.0,1,AT11,1,1,3,0,1,,,63,0,3.0,1,26400.0,3000.0,2300.0,800.0,2.0,2.0,5.0,37200.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
2100,2019.0,915.0,1,AT11,0,0,3,0,0,6,36.0,32,1,2.0,1,27800.0,3700.0,2200.0,700.0,2.0,2.0,5.0,39400.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
671,2016.0,852.0,1,AT11,,1,3,,1,5,25.0,43,1,3.0,1,25600.0,3500.0,1800.0,600.0,2.0,2.0,5.0,36600.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
232,2015.0,843.0,1,AT11,,1,3,0,1,5,25.0,32,1,2.0,1,25000.0,3800.0,1600.0,900.0,2.0,2.0,5.0,35900.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
2235,2017.0,883.0,1,AT11,1,1,3,0,1,,,46,1,3.0,1,26400.0,3000.0,2300.0,800.0,2.0,2.0,5.0,37200.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,0.0
2539,2018.0,891.0,1,AT11,0,1,3,0,0,4,16.0,45,1,2.0,1,27100.0,3300.0,2100.0,700.0,2.0,2.0,5.0,38600.0,20400.0,21200.0,22100.0,23400.0,23800.0,24100.0,25000.0,25600.0,26400.0,27100.0,27800.0,26400.0,3,1.0
