Method,Coefficient,SE,p-value
Mixed model (REML),0.11721782508417573,0.021259555902814548,3.514601974842421e-08
OLS + HC1 robust,0.11725953515053789,0.021934492308750792,8.997039652904205e-08
OLS + country-wave cluster,0.11725953515053789,0.034893219221931976,0.0007779449287392058
OLS + country cluster,0.11725953515053789,0.04532394929383996,0.009677543879961061
