param,my_coef,reported_coef,coef_diff,my_se,reported_se,se_diff,match
task_z,0.20404182022506323,0.20404182022506323,0.0,0.013005595089584526,0.013005595089584526,0.0,True
"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Co",0.029430817883983322,0.20404182022506323,0.1746110023410799,0.01640744607731874,0.013005595089584526,0.0034018509877342153,False
"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Ea",-0.1468057794522004,0.20404182022506323,0.35084759967726364,0.01624272023592958,0.013005595089584526,0.0032371251463450545,False
"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Li",0.11721782508417573,0.20404182022506323,0.0868239951408875,0.021259555902814548,0.013005595089584526,0.008253960813230023,False
"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.So",0.019424654156782826,0.20404182022506323,0.1846171660682804,0.021921117098331125,0.013005595089584526,0.0089155220087466,False
